Year,House Prices Growth (%)
2004,12.500 
2005,15.556
2006,9.077
2007,7.969
2008,-8.883
2009,5.223
2010,-1.635
2011,2.285
2012,6.432
2013,9.097
2014,6.997
2015,12.262
2016,14.320 
2017,3.992
2018,2.777
2019,4.609
2020,17.015
2021,27.231
