Year,Foreign Direct Investment in Dec (USD in million)
2002,2584.806
2003,867.210 
2004,34926.847
2005,2250.208
2006,11006.025
2007,-74.678
2008,16677.347
2009,11718.124
2010,12684.922
2011,25869.926
2012,23166.148
2013,18680.614
2014,25346.272
2015,9154.411
2016,12908.807
2017,7095.223
2018,8753.069
2019,5138.789
2020,1210.231
2021,16041.938
