Year, Per 1000 Population, Annual % Change
2002,5.655,6.88
2003,6.018,6.42
2004,7.103,18.03
2005,8.187,15.26
2006,9.272,13.25
2007,10.356,11.69
2008,11.441,10.48
2009,10.87,-4.99
2010,10.299,-5.25
2011,9.729,-5.53
2012,9.158,-5.87
2013,8.587,-6.23
2014,8.15,-5.09
2015,7.713,-5.36
2016,7.277,-5.65
2017,6.84,-6.01
2018,6.403,-6.39
2019,6.157,-3.84
2020,5.911,-4
2021,5.665,-4.16
