Year,Unemployment Rate (%)
2002,5.28
2003,4.75
2004,4.01
2005,3.81
2006,3.86
2007,3.66
2008,4.17
2009,6.12
2010,6.56
2011,6.49
2012,6.3
2013,5.7
2014,5.5
2015,5.0 
2016,5.3
2017,4.5
2018,4.3
2019,4.1
2020,4.9
2021,3.2
