Year, GNI Per Capita (US $), Annual % Growth
2002,14170,2.61
2003,16960,19.69
2004,21500,26.77
2005,25440,18.33
2006,26400,3.77
2007,28150,6.63
2008,28630,1.71
2009,29690,3.7
2010,29680,-0.03
2011,32230,8.59
2012,36700,13.87
2013,39930,8.8
2014,41680,4.38
2015,40660,-2.45
2016,39440,-3
2017,38870,-1.45
2018,41650,7.15
2019,43050,3.36
2020,41480,-3.65
2021,45230,9.04
